Symbol,LotSize,OI_Value,Total_OI_Value
ACC,300,0,0
ALKEM,200,0,0
GAIL,4575,0,0
GLENMARK,725,0,0
AARTIIND,1000,0,0
ABBOTINDIA,40,0,0
ABCAPITAL,5400,0,0
IGL,1375,0,0
ABFRL,2600,0,0
ADANIENT,300,0,0
ADANIPORTS,800,0,0
INDUSTOWER,3400,0,0
AMBUJACEM,1800,0,0
APOLLOHOSP,125,0,0
APOLLOTYRE,1700,0,0
ASHOKLEY,5000,0,0
ASIANPAINT,200,0,0
ASTRAL,367,0,0
ATUL,75,0,0
AUBANK,1000,0,0
AUROPHARMA,1100,0,0
AXISBANK,625,0,0
BAJAJ-AUTO,125,0,0
BAJFINANCE,125,0,0
BALKRISIND,300,0,0
BALRAMCHIN,1600,0,0
BANDHANBNK,2500,0,0
BANKBARODA,2925,0,0
BATAINDIA,375,0,0
BEL,5700,0,0
METROPOLIS,400,0,0
BHARATFORG,500,0,0
BHEL,5250,0,0
BIOCON,2500,0,0
BOSCHLTD,50,0,0
BPCL,1800,0,0
BRITANNIA,200,0,0
MUTHOOTFIN,550,0,0
BSOFT,1000,0,0
CANFINHOME,975,0,0
CHAMBLFERT,1900,0,0
CIPLA,650,0,0
COLPAL,350,0,0
CONCOR,1000,0,0
COROMANDEL,700,0,0
PERSISTENT,175,0,0
CROMPTON,1800,0,0
CUB,5000,0,0
CUMMINSIND,300,0,0
DABUR,1250,0,0
DALBHARAT,250,0,0
DEEPAKNTR,300,0,0
DELTACORP,2800,0,0
DIVISLAB,200,0,0
SHRIRAMFIN,300,0,0
DIXON,100,0,0
DLF,1650,0,0
DRREDDY,125,0,0
EXIDEIND,3600,0,0
FEDERALBNK,5000,0,0
TRENT,400,0,0
GMRINFRA,11250,0,0
GNFC,1300,0,0
GODREJPROP,475,0,0
GRANULES,2000,0,0
GRASIM,475,0,0
GUJGASLTD,1250,0,0
HAL,300,0,0
HCLTECH,700,0,0
HDFCAMC,300,0,0
HDFCBANK,550,0,0
HEROMOTOCO,300,0,0
HINDALCO,1400,0,0
HINDCOPPER,5300,0,0
HINDPETRO,2700,0,0
ICICIBANK,700,0,0
ICICIGI,500,0,0
IDFC,5000,0,0
IDFCFIRSTB,7500,0,0
IEX,3750,0,0
INDHOTEL,2000,0,0
INDIACEM,2900,0,0
INDIAMART,300,0,0
INDIGO,300,0,0
IOC,9750,0,0
IPCALAB,650,0,0
IRCTC,875,0,0
ITC,1600,0,0
JINDALSTEL,1250,0,0
JKCEMENT,250,0,0
JSWSTEEL,675,0,0
JUBLFOOD,1250,0,0
KOTAKBANK,400,0,0
L&TFH,4462,0,0
LALPATHLAB,300,0,0
LAURUSLABS,1700,0,0
LICHSGFIN,2000,0,0
LTIM,150,0,0
LUPIN,850,0,0
M&MFIN,2000,0,0
MANAPPURAM,6000,0,0
MCDOWELL-N,700,0,0
MCX,400,0,0
MGL,800,0,0
MRF,5,0,0
NATIONALUM,7500,0,0
NAUKRI,150,0,0
NAVINFLUOR,150,0,0
NMDC,4500,0,0
NTPC,3000,0,0
OBEROIRLTY,700,0,0
OFSS,200,0,0
MARICO,1200,0,0
PEL,750,0,0
PFC,3875,0,0
PIDILITIND,250,0,0
PIIND,250,0,0
POLYCAB,100,0,0
PVRINOX,407,0,0
RBLBANK,2500,0,0
RECLTD,2000,0,0
SAIL,8000,0,0
SBICARD,800,0,0
SBILIFE,750,0,0
SBIN,1500,0,0
SHREECEM,25,0,0
SUNPHARMA,700,0,0
TATASTEEL,5500,0,0
TORNTPHARM,500,0,0
SUNTV,1500,0,0
SYNGENE,1000,0,0
TATACHEM,550,0,0
UPL,1300,0,0
TATACOMM,500,0,0
TATAMOTORS,1425,0,0
TATAPOWER,3375,0,0
TCS,175,0,0
TECHM,600,0,0
TITAN,375,0,0
UBL,400,0,0
ULTRACEMCO,100,0,0
VEDL,2000,0,0
ZEEL,3000,0,0
ZYDUSLIFE,900,0,0
BAJAJFINSV,500,0,0
BERGEPAINT,1320,0,0
CANBK,2700,0,0
CHOLAFIN,625,0,0
EICHERMOT,175,0,0
ESCORTS,275,0,0
HAVELLS,500,0,0
IBULHSGFIN,5100,0,0
ICICIPRULI,1500,0,0
INDUSINDBK,500,0,0
INFY,400,0,0
M&M,350,0,0
LT,300,0,0
LTTS,200,0,0
MARUTI,50,0,0
MFSL,800,0,0
NESTLEIND,40,0,0
PNB,8000,0,0
RAMCOCEM,850,0,0
RELIANCE,250,0,0
SIEMENS,275,0,0
SRF,375,0,0
HDFCLIFE,1100,0,0
TATACONSUM,900,0,0
TVSMOTOR,350,0,0
VOLTAS,600,0,0
ABB,125,0,0
BHARTIARTL,950,0,0
HINDUNILVR,300,0,0
IDEA,80000,0,0
MOTHERSON,7100,0,0
MPHASIS,275,0,0
COFORGE,150,0,0
GODREJCP,500,0,0
POWERGRID,3600,0,0
WIPRO,1500,0,0
PAGEIND,15,0,0
COALINDIA,2100,0,0
PETRONET,3000,0,0
ONGC,3850,0,0
